trade_id,timestamp,pair,signal,entry_price,exit_price,profit,drawdown
140,2024-06-12,GBP/USD,STRONG_BUY,1.2395,1.2459,640.0,0.0
136,2024-06-12,EUR/USD,SELL,1.11231,1.10792,439.0,0.0
65,2024-06-17,GBP/USD,SELL,1.23924,1.23611,313.0,0.0
93,2024-06-17,AUD/USD,SELL,0.69968,0.69913,55.0,0.0
107,2024-06-17,USD/INR,SELL,84.17042,84.17274,-2320.0,0.0
13,2024-06-18,AUD/USD,SELL,0.69478,0.69626,-148.0,0.0
131,2024-06-18,USD/INR,BUY,82.24241,82.2441,1690.0,0.0
73,2024-06-19,GBP/USD,STRONG_BUY,1.27412,1.27932,520.0,0.0
3,2024-06-26,USD/JPY,BUY,150.56125,150.56093,-320.0,0.0
47,2024-06-27,AUD/USD,STRONG_SELL,0.69306,0.68911,395.0,0.0
36,2024-06-27,USD/JPY,STRONG_SELL,148.43283,148.43417,-1340.0,0.0
130,2024-07-01,USD/JPY,SELL,148.9904,148.99039,10.0,0.0
133,2024-07-01,GBP/USD,STRONG_BUY,1.24599,1.24653,54.0,0.0
27,2024-07-03,GBP/USD,SELL,1.23718,1.23653,65.0,0.0
43,2024-07-07,AUD/USD,STRONG_BUY,0.67812,0.67451,-361.0,0.0
60,2024-07-08,USD/JPY,BUY,153.05951,153.05702,-2490.0,0.0
20,2024-07-08,USD/JPY,STRONG_BUY,145.35153,145.35617,4640.0,0.0
45,2024-07-11,USD/INR,SELL,84.35794,84.35893,-990.0,0.0
137,2024-07-11,USD/INR,STRONG_BUY,83.42138,83.42208,700.0,0.0
85,2024-07-13,AUD/USD,BUY,0.64621,0.65102,481.0,0.0
1,2024-07-15,USD/JPY,BUY,154.16999,154.17229,2300.0,0.0
114,2024-07-15,EUR/USD,BUY,1.06044,1.05304,-740.0,0.0
58,2024-07-20,AUD/USD,BUY,0.68994,0.68799,-195.0,0.0
98,2024-07-21,EUR/USD,STRONG_SELL,1.11286,1.11212,74.0,0.0
33,2024-07-24,USD/INR,STRONG_BUY,82.5531,82.5569,3800.0,0.0
118,2024-07-25,USD/JPY,STRONG_SELL,148.32031,148.3242,-3890.0,0.0
9,2024-07-27,GBP/USD,BUY,1.23686,1.24044,358.0,0.0
42,2024-07-28,GBP/USD,BUY,1.24504,1.24829,325.0,0.0
81,2024-07-28,AUD/USD,STRONG_SELL,0.68361,0.68819,-458.0,0.0
75,2024-07-31,EUR/USD,STRONG_SELL,1.1023,1.10125,105.0,0.0
94,2024-07-31,AUD/USD,STRONG_BUY,0.67703,0.67672,-31.0,0.0
48,2024-08-02,AUD/USD,BUY,0.65265,0.65353,88.0,0.0
21,2024-08-03,EUR/USD,BUY,1.10108,1.10172,64.0,0.0
19,2024-08-04,USD/INR,SELL,84.35383,84.35422,-390.0,0.0
104,2024-08-08,AUD/USD,BUY,0.64691,0.64494,-197.0,0.0
83,2024-08-13,USD/INR,SELL,83.10592,83.10546,460.0,0.0
144,2024-08-15,EUR/USD,SELL,1.07909,1.08359,-450.0,0.0
80,2024-08-17,USD/INR,STRONG_SELL,82.8524,82.84635,6050.0,0.0
76,2024-08-20,EUR/USD,STRONG_SELL,1.0835,1.08626,-276.0,0.0
69,2024-08-21,USD/JPY,STRONG_SELL,148.46348,148.4644,-920.0,0.0
12,2024-08-24,GBP/USD,STRONG_SELL,1.28785,1.28706,79.0,0.0
15,2024-09-03,GBP/USD,BUY,1.22712,1.22738,26.0,0.0
49,2024-09-04,GBP/USD,BUY,1.25202,1.2501,-192.0,0.0
